Campaign,Ad Group,Status,Max CPC
MPU Alkohol – Top10 Städte,Berlin – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Berlin – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Berlin – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Berlin – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,Hamburg – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Hamburg – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Hamburg – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Hamburg – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,München – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,München – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,München – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,München – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,Köln – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Köln – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Köln – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Köln – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,Frankfurt – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Frankfurt – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Frankfurt – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Frankfurt – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,Stuttgart – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Stuttgart – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Stuttgart – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Stuttgart – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,Düsseldorf – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Düsseldorf – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Düsseldorf – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Düsseldorf – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,Leipzig – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Leipzig – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Leipzig – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Leipzig – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,Dortmund – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Dortmund – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Dortmund – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Dortmund – Straftaten,Enabled,1.5
MPU Alkohol – Top10 Städte,Essen – Alkohol,Enabled,1.5
MPU Drogen – Top10 Städte,Essen – Drogen,Enabled,1.5
MPU Punkte – Top10 Städte,Essen – Punkte,Enabled,1.5
MPU Straftaten – Top10 Städte,Essen – Straftaten,Enabled,1.5
