Account,Campaign,Ad Group,Keyword,Match Type,Negative Keyword,Final URL,Ad type,Campaign Type,Budget,Bid Strategy Type,Status,Max CPC,EU political ads,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4
826-841-9884,MPU Punkte – DE,,,,,,,Search,15,Maximize Conversions,Paused,,No,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,,,,,,,Search,15,Maximize Conversions,Paused,,No,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,,,,,,,Search,15,Maximize Conversions,Paused,,No,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,,,,,,,Search,15,Maximize Conversions,Paused,,No,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Berlin – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Berlin – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Berlin – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Berlin – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Berlin – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Dortmund – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Dortmund – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Dortmund – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Dortmund – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Dortmund – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Düsseldorf – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Düsseldorf – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Düsseldorf – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Düsseldorf – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Düsseldorf – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Duisburg – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Duisburg – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Duisburg – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Duisburg – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Duisburg – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Essen – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Essen – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Essen – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Essen – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Essen – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Frankfurt – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Frankfurt – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Frankfurt – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Frankfurt – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Frankfurt – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Hamburg – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Hamburg – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Hamburg – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Hamburg – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Hamburg – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Hannover – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Hannover – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Hannover – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Hannover – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Hannover – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Köln – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Köln – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Köln – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Köln – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Köln – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,Leipzig – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,Leipzig – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,Leipzig – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,Leipzig – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Beratung – DE,Leipzig – Beratung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Alkohol – DE,München – Alkohol,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Punkte – DE,München – Punkte,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Straftaten – DE,München – Straftaten,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
826-841-9884,MPU Vorbereitung – DE,München – Vorbereitung,,,,,,,,,Enabled,2.00,,,,,,,,,,,,,,,,,
